Alarm_Name,Ticker,Lower_Limit,Upper_Limit,Active,Last_Triggered,Last_Price
15m 50%,DIA,521.30,521.60,TRUE,2026-08-06T13:31:06Z,542.47
Last Cross 15m,DIA,522.20,522.40,TRUE,2026-08-06T13:31:06Z,542.47
DIA +Z15m oben 100/100,DIA,526.66,532.88,TRUE,2026-08-06T13:31:06Z,542.47
Volume 15m unten,DIA,518.29,518.74,TRUE,2026-08-06T13:31:06Z,542.47
Wave 15m,DIA,514.71,528.46,TRUE,2026-08-06T13:31:06Z,542.47
Volume h1 unten,DIA,516.20,517.23,TRUE,2026-08-06T13:31:06Z,542.47
Volume h1 oben,DIA,524.11,524.77,TRUE,2026-08-06T13:31:06Z,542.47
Volume 15m oben,DIA,527.04,527.53,TRUE,2026-08-06T13:31:06Z,542.47
DIA -Z15m oben 100/160,DIA,501.45,511.88,TRUE,2026-08-06T13:31:06Z,542.47
Last Cross h1,DIA,524.40,524.70,TRUE,2026-08-06T13:31:06Z,542.47
1h 50%,DIA,516.10,516.29,TRUE,2026-08-06T13:31:06Z,542.47
Wave 1h,DIA,506.06,532.51,TRUE,2026-08-06T13:31:06Z,542.47
-Z1h unten 100/160,DIA,489.81,511.61,TRUE,2026-08-06T13:31:06Z,542.47
+Z1h unten 100/100,DIA,529.92,532.06,TRUE,2026-08-06T13:31:06Z,542.47
